iter	Passed	Remaining
407	5346	7757
408	5359	7744
409	5373	7732
410	5385	7718
411	5397	7703
412	5408	7686
413	5420	7672
414	5433	7659
415	5448	7648
416	5462	7636
417	5475	7624
418	5488	7610
419	5500	7596
420	5515	7585
421	5529	7573
422	5539	7556
423	5551	7542
424	5564	7528
425	5575	7512
426	5586	7496
427	5598	7481
428	5610	7468
429	5624	7456
430	5637	7442
431	5648	7426
432	5660	7412
433	5677	7404
434	5693	7395
435	5710	7387
436	5723	7373
437	5734	7358
438	5746	7343
439	5760	7332
440	5772	7316
441	5784	7302
442	5795	7286
443	5807	7272
444	5817	7254
445	5828	7240
446	5840	7225
447	5852	7211
448	5863	7195
449	5875	7180
450	5886	7165
451	5897	7150
452	5908	7134
453	5920	7119
454	5930	7104
455	5942	7089
456	5954	7074
457	5965	7059
458	5977	7044
459	5988	7030
460	5999	7014
461	6010	6999
462	6022	6985
463	6033	6969
464	6044	6954
465	6056	6940
466	6068	6926
467	6079	6910
468	6091	6896
469	6102	6881
470	6114	6867
471	6125	6852
472	6136	6837
473	6147	6822
474	6160	6808
475	6172	6795
476	6184	6781
477	6197	6767
478	6211	6755
479	6222	6740
480	6234	6726
481	6246	6712
482	6256	6697
483	6268	6683
484	6279	6667
485	6291	6653
486	6302	6639
487	6314	6624
488	6324	6609
489	6336	6594
490	6347	6580
491	6359	6565
492	6369	6550
493	6381	6536
494	6393	6522
495	6404	6507
496	6415	6492
497	6427	6478
498	6437	6463
499	6449	6449
500	6460	6434
501	6472	6420
502	6483	6406
503	6494	6391
504	6506	6377
505	6517	6362
506	6546	6365
507	6557	6350
508	6567	6335
509	6578	6320
510	6590	6306
511	6601	6291
512	6612	6277
513	6624	6263
514	6635	6249
515	6648	6236
516	6667	6229
517	6683	6219
518	6696	6205
519	6708	6192
520	6719	6177
521	6730	6163
522	6742	6149
523	6754	6135
524	6764	6120
525	6776	6106
526	6788	6092
527	6799	6078
528	6809	6063
529	6822	6050
530	6835	6037
531	6848	6024
532	6867	6017
533	6888	6011
534	6900	5997
535	6911	5983
536	6924	5969
537	6937	5957
538	6948	5942
539	6959	5928
540	6971	5914
541	6981	5899
542	6994	5886
543	7008	5874
544	7020	5861
545	7033	5848
546	7047	5836
547	7059	5822
548	7071	5809
549	7083	5795
550	7095	5782
551	7108	5768
552	7119	5754
553	7132	5741
554	7143	5728
555	7155	5714
556	7167	5700
557	7181	5688
558	7193	5674
559	7204	5660
560	7216	5647
561	7238	5641
562	7250	5627
563	7261	5613
564	7271	5598
565	7284	5585
566	7296	5572
567	7309	5559
568	7321	5545
569	7333	5532
570	7345	5518
571	7355	5504
572	7366	5489
573	7377	5475
574	7388	5460
575	7399	5446
576	7411	5433
577	7422	5419
578	7435	5406
579	7447	5392
580	7458	5378
581	7468	5364
582	7480	5350
583	7492	5337
584	7502	5322
585	7514	5308
586	7526	5295
587	7538	5282
588	7548	5267
589	7560	5253
590	7571	5239
591	7581	5225
592	7593	5211
593	7606	5199
594	7618	5185
595	7637	5177
596	7653	5166
597	7665	5152
598	7677	5139
599	7689	5126
600	7700	5112
601	7711	5098
602	7723	5084
603	7734	5070
604	7745	5056
605	7757	5043
606	7769	5030
607	7780	5016
608	7792	5002
609	7803	4989
610	7816	4976
611	7827	4962
612	7839	4949
613	7850	4935
614	7861	4921
615	7872	4907
616	7884	4894
617	7894	4880
618	7906	4866
619	7917	4852
620	7928	4838
621	7939	4824
622	7950	4811
623	7961	4797
624	7972	4783
625	7984	4770
626	7995	4756
627	8006	4742
628	8018	4729
629	8029	4715
630	8039	4701
631	8051	4687
632	8062	4674
633	8073	4660
634	8085	4647
635	8097	4634
636	8107	4620
637	8118	4606
638	8130	4593
639	8140	4579
640	8151	4565
641	8163	4552
642	8174	4538
643	8185	4525
644	8196	4511
645	8208	4497
646	8219	4484
647	8230	4470
648	8241	4457
649	8253	4444
650	8266	4431
651	8280	4419
652	8293	4407
653	8308	4395
654	8320	4382
655	8335	4371
656	8350	4359
657	8363	4346
658	8377	4334
659	8390	4322
660	8404	4310
661	8414	4296
662	8427	4283
663	8438	4270
664	8454	4258
665	8466	4246
666	8480	4233
667	8493	4221
668	8504	4207
669	8515	4194
670	8528	4181
671	8541	4168
672	8554	4156
673	8568	4144
674	8579	4130
675	8594	4119
676	8613	4109
677	8628	4097
678	8641	4085
679	8653	4072
680	8664	4058
681	8675	4045
682	8688	4032
683	8698	4018
684	8710	4005
685	8721	3991
686	8732	3978
687	8743	3965
688	8756	3952
689	8768	3939
690	8779	3925
691	8790	3912
692	8801	3899
693	8812	3885
694	8823	3872
695	8835	3859
696	8845	3845
697	8857	3832
698	8868	3818
699	8879	3805
700	8890	3792
701	8901	3778
702	8912	3765
703	8923	3752
704	8934	3738
705	8946	3725
706	8957	3712
707	8969	3699
708	8980	3685
709	8991	3672
710	9002	3659
711	9014	3646
712	9029	3634
713	9040	3621
714	9054	3609
715	9067	3596
716	9080	3584
717	9094	3571
718	9106	3559
719	9120	3546
720	9133	3534
721	9144	3521
722	9156	3508
723	9167	3494
724	9178	3481
725	9189	3468
726	9202	3455
727	9213	3442
728	9225	3429
729	9237	3416
730	9249	3403
731	9260	3390
732	9271	3377
733	9283	3364
734	9293	3350
735	9305	3337
736	9317	3324
737	9327	3311
738	9339	3298
739	9350	3285
740	9361	3271
741	9372	3258
742	9384	3245
743	9395	3232
744	9405	3219
745	9417	3206
746	9428	3193
747	9439	3180
748	9450	3167
749	9462	3154
750	9473	3140
751	9484	3127
752	9495	3114
753	9506	3101
754	9518	3088
755	9529	3075
756	9539	3062
757	9552	3049
758	9563	3036
759	9580	3025
760	9598	3014
761	9611	3001
762	9622	2988
763	9634	2976
764	9646	2963
765	9656	2950
766	9670	2937
767	9682	2924
768	9695	2912
769	9708	2899
770	9721	2887
771	9732	2874
772	9746	2862
773	9757	2849
774	9768	2835
775	9781	2823
776	9793	2810
777	9805	2797
778	9815	2784
779	9827	2771
780	9839	2759
781	9850	2746
782	9862	2733
783	9876	2721
784	9891	2709
785	9901	2695
786	9914	2683
787	9927	2670
788	9938	2657
789	9952	2645
790	9963	2632
791	9975	2619
792	9988	2607
793	10000	2594
794	10012	2581
795	10025	2569
796	10037	2556
797	10047	2543
798	10059	2530
799	10070	2517
800	10081	2504
801	10093	2491
802	10104	2479
803	10116	2466
804	10127	2453
805	10139	2440
806	10150	2427
807	10162	2414
808	10174	2402
809	10185	2389
810	10196	2376
811	10211	2364
812	10224	2351
813	10236	2339
814	10246	2326
815	10257	2313
816	10269	2300
817	10280	2287
818	10291	2274
819	10303	2261
820	10315	2249
821	10326	2236
822	10338	2223
823	10351	2211
824	10365	2198
825	10385	2187
826	10406	2177
827	10432	2167
828	10453	2156
829	10468	2144
830	10485	2132
831	10505	2121
832	10522	2109
833	10539	2097
834	10554	2085
835	10583	2076
836	10598	2063
837	10609	2051
838	10621	2038
839	10633	2025
840	10644	2012
841	10655	1999
842	10666	1986
843	10678	1973
844	10688	1960
845	10700	1947
846	10711	1934
847	10722	1921
848	10734	1909
849	10746	1896
850	10757	1883
851	10767	1870
852	10779	1857
853	10790	1844
854	10802	1831
855	10813	1819
856	10825	1806
857	10835	1793
858	10847	1780
859	10859	1767
860	10869	1754
861	10881	1742
862	10892	1729
863	10903	1716
864	10914	1703
865	10926	1690
866	10937	1677
867	10948	1664
868	10959	1652
869	10971	1639
870	10982	1626
871	10994	1613
872	11006	1601
873	11016	1588
874	11028	1575
875	11039	1562
876	11050	1549
877	11062	1537
878	11076	1524
879	11089	1512
880	11104	1499
881	11116	1487
882	11128	1474
883	11140	1461
884	11153	1449
885	11164	1436
886	11177	1424
887	11190	1411
888	11204	1399
889	11217	1386
890	11228	1373
891	11240	1360
892	11256	1348
893	11271	1336
894	11284	1323
895	11297	1311
896	11312	1298
897	11323	1286
898	11335	1273
899	11347	1260
900	11360	1248
901	11372	1235
902	11383	1222
903	11393	1209
904	11406	1197
905	11420	1184
906	11433	1172
907	11444	1159
908	11456	1146
